left,right
WVHGHwddqSsNjsjwqVvdw,ZRCbcJcZTCcsZbLcJJsCZ
hngprFFhFDFhrDpzzQDhtnB,JJRJZbZvTcvbfRCJfBRcBJl
DmptngtF,wvvMmwmm
HFddrJnLdq,tHBMQBmmVm
gbvNsbhsv,QtmZTbQPT
vDshDlczcDhcssscwzQwsl,LJrSJLpqrrzpnCrSfLSnqq
pDGQDSpFDGzFDQSJqzDhjhQ,MTjTrwTstbTBTjTtLtbTMBT
zgzVNHHg,MwMLbLNB
WRWPgdHCZccgg,JmJGzJmzGhGCD
sVJNlhldShpdp,nnwVnwCwtwggt
WLFFcHWQLPPZQ,CgtnCgmbtbHwt
MPLWzRMMcGgRrW,NDpSSSfDflMlTd
BBMZJcgBRjCZZzB,pSvHQvbLvvHCQLQ
VlVTFwDTVGnfW,SQPtsDPbvrpDS
wWdqhWlwGVfGwlfTVqFWfWW,jzZZBJmMZMNdzZJMpjzNjgJ
FBWFphQBmDmpmMSpDW,VcVcvsPcRbrjPMcMsr
HHtdnHnwNCHCTJ,RTPTzrbvVbcVRr
lHqHwlnlqnGCN,GGmWDvvZfpZvG
mfVtmPtsccMmHcHCFfmhVm,npgZLbWPZqWnpqZbZWpgPW
zzvwBrzdQDv,pZJfQJZJpLf
BrTBwRdN,cfNmfStc
sTlhFLfZTTLcfsLlLDZfl,vQvRNqRJFNvRMRNvQQRBQ
CWcgwStWwCWWw,vgNQvJBvQMQRB
wptGzbzGWVGSCVV,lVlLDcVVsfhLTlf
HVnMVGwLLbsGnVsLnwLSB,ggMhjmgmgmhtmqhtgMhMj
zrZzJRZfzZfrPCrFcWccP,dTdHHlvdmlgTghCtmtTgq
NFfcZWWzZrr,HLBpBBGVGNG
HqFhhCBCBLmwwCqJCHFvv,FdcprrrSSrjRFRjpgrggb
VGzWtQzGGQPVtlVNslVWsP,dRpmcRrjpSzcrcbdSmSnSg
WPPGllQMPG,mTLvLJBCwM
PvDWRSmTVvSvR,hbZRpRpbjjjzM
GBFGHLglHrrrLgGr,ttbMjpbcpcZJBsBp
lrHgrrndgdNnlHGF,QPMMmWPTvvWSCDQn
mmhQShhmhQfzNfTTlSh,bHJrRtltltJJtHlRLLZ
WscggNqwPWjcGcWWcpNc,RJHHprZvZHrvtttZJpJr
jGjgcMGCwPNsGDCcs,zBfhhQQQDnFnTVVBV
mcGjrwzQcrZtQzZQDZc,PssvPVVCPCVLwswwPBC
NJbqHddNSgd,PWvvsVHVLPs
NqglNSlJFNSbSNdldNlNdNbT,RFDrvRmQrQGtmDrvttQmmtDj
zzcBPnHBjgHjW,JvbJQTvScbwcQ
qdspVCFqVqfFqLFCq,tpTwtpTbSTbJpwBST
FRLFRCNNqMfd,WNmZPBPZrHmm
VmtRRJmtrDrwhR,cvPspltvgqtqsd
WGQBZzMMBGBGbZTTWWCMNS,gggqnPlsfbqndndccglffg
CWQQZMFWdzMQd,JJwJVFrwmmmRw
rZsFfGfNhznzsjhzZfVjG,VvVdvSTSJHSDDtcmmmttC
wWpRBWlbWMWlQ,DvCcRSvJRSStm
LPlwWqbgw,qjjcFshNf
lsppsGphmP,rRQnvHdRpd
qBgjLqMjgjTL,PnzHPrPRLnzv
gSMfNjNtttVbqBbtTSStjTq,lhmlZDsDsbWZWFFFsGhlWPm
sPDPDzrGzBsGRsb,wrjtSVvthVfQtQw
ClpgFZgNqMWCgqCpMNZqNWmN,dtSwtljtVHQhtwfvdHtSdhSj
FpNCJpNcpfCpgNW,PGBLcbTGTzTzPnG
mssNLCZqSqmNCHmrqHChJ,TjTjnRRnnqVnTTGngGTRn
dbwptFwQbvdtcvpZDcDdd,gzGPjTGgpPTRpzzzgRzTn
BwZdtZldDb,rSsNrsrSHl
MLnFWMRWpnpnLnL,CmPGTqQsFzBttTQ
SwNlDHNcddglSDBjr,qmqGQqqmGtGGwszPP
vdSlNcrv,vvnBMbBR
psZPRmTpRp,grlrDRBFgV
jvCqNhwnjhGNqCMq,VgFHWtgHBrtwHFrJ
cGvbNcjvvhhjcvbQGc,ZdZSQpzdpmpPVpdZpd
drTHDdlHzllZDTzT,QRQLsPPSsBbSjQdL
MfVVWmNvMnqNmVVpMMgfgMmv,BFFfRRLQPPsPfsFLFCFRSFjR
whMnNVnqWm,lllHswJTZT
ZSQTTLLlTsbmmDZlmNQSN,FfPwHwqCjCCfjwFPwfwLr
MctMJMBVttnhJcBBVct,wRHjHRJwJwjFfqPfRwj
vzqgqhBVz,zTlZmmTlN
WgvlHJFvljvd,Bmzcvcwpmchc
TQqZsTZttLZbRZsLLM,zzppBmNShCmBNTcNCN
LPMZsMZLMQV,gglFPhFHlFl
qsBCPVPqVbwf,nMQNmZJnqJgR
hHdrvvLWtvtjW,QnZJTMrmpTZgN
DShSShLZdF,GPGDPGsPsG
qRBddRzFFqFqHn,NnPSnnmmSpgpJm
ssZDQMvvMw,ppNJWRDRpW
MMvwlsRMcQ,BjcLqLBBqc
ZGHpwFGvwpHrvfF,TMtDfccMjntMntc
RgSCLRLJRSRSQQqJm,TDMPMTtsJjnclBjtj
LVmmSSddLC,wVHDbzDzZr
psgWdsBjnnJjbZW,QDDLNrDcrLVQjLM
zPSCCHqCfqf,mWNMcrVSLRM
TPHzWPFTGztqT,GgdJdsssvZgwb
gcFgBChc,ClJjNCPb
sWZdZdrSmWmSZRwSms,vPlsTtTtNMnnlvnJJv
GSWrHZdGQpRrrSGmpWQmQ,fLfpVzDfghppzBVLBlBqg
BFNqFzBNhq,VwmTtsqVst
dMwMwMfCMW,bDtDvDssCC
ldMwMSHHMMWJpRp,PLLpBzPZjgnZPhN
WczRJhcWggVB,dzPPLnCjdvjm
lSpSTpTSs,CCmmntNdp
wSFDCTwsGD,qQqQVWWcJw
RqPqhDGBhRDrrhBFmP,mbgssZbwbgCbwsmZsQ
nCtjMppjfTpjJJf,VZwtzZtllLZwLss
MHfpMWdHpSCSfnSTJW,hDDFDFBGqDGvvDBDFd
MCCGMCSHVGNT,spVWQznddndg
rttLtvRbrhLZrbc,QdJnnQdfddsrggf
BbRqltRt,HsNNllNC
ncFpcsLLdF,mWlRmnllTR
bMMVzVqMzjNVDb,lmRTPGlSmmPlqG
gNDDJMVZNCbNJNDNQCbZCb,scvBsdBvrRHfcpdQpfFFff
VnWFbZvFbHWhFjZWVJZJLZFW,TttpMCspQTTzQCHpgQMgztzT
dGcfdNdGrlRlBDGNSllfB,MspgzmTgtQQgztMtzpmcT
lBNdqRsBRdfPNr,LPFVVPVJPZZvhj
TLWgggJzwjgWgjg,GnnmQnzQfNNNQsm
SpPbBlPBMlvFZpbbB,mQGsmCJmCstsdNGBQ
MhSHhZPrPbvSFrJPpPMSbM,cLjjqTLHDRTDDTTLDLTqgH
fprRRbbznFb,cQVPDdQPdFV
LTvmsLmcsHm,vDvSZDZVVSS
jWtmLccssJTLjHmLWWJw,nwlBfwnBbllpCBnffbBr
plPBWzbnFLPP,tGqMMwlMGwmS
ZQjDHjrQjdjVF,wdMvCSfmwMqdt
DDhhrRDjQghHJjh,WBbgbTccbsTzpWF
vgCbbwsTbWWWgwBW,DGGDqtPGtMgGlFMH
znrznJNhLSLphRRR,DlFPMmpFPjjHtMFF
llNcSQVSNcR,bvCwwWcTdwZ
qpnJbnRRnJhRFhF,HRgQSzHlSRHCCCg
fMBttBvsBjffvsQTtfGT,WlCWsSgSmHCzZmLlHgzZ
ffMdjrfdwjfw,wnhJPFchhqwQ
NCVSTCVCQCCRVDQSJ,sqFPsPNspFhhsgjPh
btvtWtcWn,pgmFhjmmt
cfnffBfcWcrMdbvM,QJDDrDTDVCpCDrGD
fZNhBWFSlFQFjWQ,TTldHgCwvTvqqdr
zznVzCzn,mHvnwgdH
PMMbCGPMDPcLbJ,hFhWhBhRScQZBQ
WQMrDWGHbSWHMNrTQR,hghmgPZccmqDLwPqPg
svCzfpdzzdsnslCsn,PZcHZPlJcqZgmqPPc
nntVpdpVsfjCHzvnsCz,RTBrtWGbNNQSMbTNSRr
SnpDQdBqGpDSBMfQGcMQBD,JPNstvJcWNsPJCtJtNRWPC
VrVHrhTHlPHT,vvNtbhNRNswC
TzlFHHmrVlgTlT,GSzGqpdMGBPQBS
zrCDnrDVCnCgnrHgGDnVVC,ZsNttQZmjtsmbMqGqsjbqj
TlRRWPSwwFwbSwTTT,pNQQqNjqZZlmMMQQt
wvbwbRTLWdFFwvRBTbvTTR,zrnznnJrDDCzBczBfHCJnz
SvTdmLNNNdvTBmvmLvSv,DpgczzjfgjggpcjcNPzD
VJHQsJVlH,pjjpzsjzP
VRlJbJQrVbVHJJPMh,BdnBRCSLZZZnvnLvv
tMGcpGtMtLtsCGspL,zNCBBmwCzQRzBBRWQ
hdlHFllDdZgDbDDlDH,TWWTnzBBBvzmNHzwRz
FSddDlFRqDFqFSdPVqdh,cfGMsVtVfLjrfGfjtMcs
RGMWnBMWfCCMBHT,DptJJgZStRPmSRD
bqzFqjqcFLN,LZZSmpSBgZZ
rFrQNbNBlNcbrQlNQvvcl,MswTCTCnwrwHrWGsGCswn
WLhJQddCQwRNCQN,HczHNzMvZcZvcNc
SlSpSlrpDqnbqDjlGjGGljTj,MZZPPMMfVPgfHMMVgVvqfgcw
SbGsDspbbnjTjBl,dCFmLwFCJLBmtJB
TMDjMvMqMvD,TzcmFCgrJCr
ZZZJSZWVBHZWSSZQJhVhWnHJ,wczGGwGcCCFzwgmzcwFgwVzc
pLHNQSnN,JsMLRJds
TsLZGwdsD,FWHBZJFfZ
mqhRvqrzJRbmzJ,BFfgHHgWgHrrlH
JvvNhJmvt,DdsNTwdLV
wwnSVSmwtbstznwgbzzVM,TNpTNWdlCSlSWTffWNCSN
cFvccLGFGvvGH,ZflnNTpnZpZcB
GPqGDhGGqrDh,VRgbnbttPmgs
rzSZJScLrcBL,vjvsqMPZvjQl
nnpDqgDqFTgwq,HHvMHvvvTvPMM
GnqCGpDqqVh,ccLmrmSmCRL
tJSTmdfddDTDJCPm,bQvQLHvqqqbrbvlP
zWGsjcwwGGcVVjcGWc,NjvNjQqrQtNFFQHHrF
RZnRVsswRsGWcwVBZVtBR,dDJgCffTgmgfnnCpfTfTM
FnCrzhTrNPrMcnhMTnZZZN,PwDPdbDmdDtwjdtjbmQwDt
sBvWrpppvLBsLRVBfH,SfbbQmbwSjStDSwSwS
LVRRRJqqlH,NlNTChrhMG
WNsfsstMvtMvNNG,PZwmZmqZPLWZcww
rDCdDRCDFQ,jSVLcmZcDq
bBBHqTgBbQlQRCQFbgqd,hvshGvTJMnfTtnnThnsN
VwWBTNQcVz,Dtrgfrtzzt
LLbpShLGvlbCmLjpGSCSCpv,FdrgdddcHtrtGgfqHcDHqrd
pmvLmlpmjbLbpljJ,PBBcTBBQRZBBVJRZ
cVTcVTNvvghNhvggPPgt,CVSpSQmzCqZDRCmDZDZS
dGJMWFsFMFWsnl,zRlQzlzqpzlZzD
HdLFssFMsJbnbF,jqbhPgjNggcrhg
LLVhQCTvRvmWlCpp,QfQQjPrwszNsfzNz
BZSgncHgnJStJHJgntM,WzGsrPqGwsfPfGPwwwZ
bdBdJMBcS,hWCLbhWVC
vjdpGNGwSNCTwwR,bfnWgQMLjQWMnLQ
DcmFPFtHmlc,gpqWDnMbDLf
FZJPtcprHtPPHplZHPZcl,wwGBSZSvSwCwvZzNdwvvw
CdJLJCJPWPWcbtzJtqJz,FrQvBhfjBBvjjvdjpFjr
sBRgsZGDNSBBRGDw,phrrrThpHpgHvhpQ
DwDsGBDNwGmMNlMlMDS,PmztJVCbVCCWqPqJLmW
LSTMgDSRSMHbMDWLHSvDS,cwtCGqGrjGrcLftqVGtVC
hzJPmlph,CGrCwVrJ
zhPNdNnQZBZBhZnNZ,SgMWMDbMHwWSDWNDH
rcdvvcwvr,HrMZBjHSZ
sDtWblgnltsDFlgFqlt,CCVQTMTgSHVTfSQfSHj
tDtRWFpFbWWWWNNDWsNqW,vmzvhzhzGmzjjGvLwJmpc
nFSSnnbhSfgLSSnVjdjfHMgf,MzGzmqlNGGmTPlqqTzTNNzlT
pBZsJJvcc,bBmlWGlNb
cvsssvZwsDwrD,dfFgnbDfVbgng
mWRNWNCTdwdCwhCddbWWmh,sZVgJQJBVBfsBsJQLQBLJb
qFFlGzFtjjcqzHtFtl,RfVfsZfQHVfBHQRHgf
jqGjtcDnGnPzFRlz,rnMdWrrCMMddNNWT
MHWCjjGMcH,hbhPDLphHQ
nRVJrtgssd,LgCppvLQbg
RlVVZNVRJlsstldsBCNl,czfjjSZmWTcmGmTSfmSm
RTHqgTgMwgnGTRzqTHCG,fdFdfhmBrJrdvbFJMhPB
lNZNNNLttLW,JBPBdZBFmdZ
SppscpLVStclNPWt,CczqnQQwHTTgCGwq
hSHRCbZRSZhbRZ,BctnMVjwwtWtwh
GrdFzQrDdJ,stjcWttwsF
drPJLDPGPvDvzrJPQLdD,HpZlwLgRmwCHLpwgSbff
zMSSnCtCdSdCtdfMdHMdt,VBDjhWDHBqbTVVBqhbDjr
cPNhFFNRlN,DlTBqjlTBG
RvmvRpPNRgwgPvFw,hmdCssmCzdMshMmL
tttjgrpTwmCgCwgwrrlrH,zbzqqFNzdJqqZnddJwNbh
cQjMjPMBfcLBSjGQB,ndFnzNdNnhzzNGFbF
sSQPLMfVPBVSfBMvVLSPf,HCttDjCDRRtrVVglgpttD
vdTvdpBvcTPdSS,vCLrCCDLDCQGDl
sRfnFgmFRMVsnqgRmqz,mrrDBDwtHlLHtrLCDGL
qRMVjJgRFnJfMssMsg,ZScPJpZbPbPPWhBZSp
ZJgNJhGZglMZZ,FDTPSNqFSqTSb
mwdvwpsjrcjBvpwFrv,bHcDqbWHRWDSPWDHSR
CsvpsLLj,FzhlLGFZ
sDNQrMrNfrlQ,jJRgGjbTllHG
ZRhSnWFVSwBtFRBVvV,gHgbzjgGTJnngmGmHC
vWZLShhvZLVtSFSLqwV,rQdqpcqMDddRNQMdsNP
hQhSQbbwtHzShwhSQPb,JRsLwRCjJmDCcvmqCcs
FNdBTBTNM,sRqqCjTjL
GNdrdMBVF,ShhSLSGGL
cZzcCmjjcvdzd,WqgWTZgPZgZhh
wSwVGSJF,TffgJTNh
FSVpVlBMS,hzbjzcpvp
qqlblClRbnTvqTmRqlmnT,wrdfdwFFNrngfddDBrNtr
PcLcQLMVLGMzHLMchhLcjL,FrrNrBfrfFNJtNgJDDBNzt
sSjjGcGQscSVSMjHVMSVPSQ,sWmCmppZCmtCWbbWTlZTqTl
qWlVJmDJHWJHVJlsdVT,dhbFNNgFhwhhhFhwwZg
npjnvQpStCQLvBpPnvtBtBp,GSGbzbGDggGNbgwghzZNGGN
jBvLtvjnrtM,DmmDRTTrsWc
pmwdwzJtFmmlpFsWwtstJ,PGgvNgCCLWCvPgNNPQCQv
RfbfTRBnR,GQvPNnncc
ZTbPZSDSBfSBVSbbBRbbb,trFdtlFmVsswtFwzdpszw
hVphQcmdcWWprWWhChFQ,BsfHjDTTBCHlSsTSBgSH
vqBRqqzbqMZPMw,STDjJjlHDllgHZ
PMnMLqtMnn,tQhWBccthB
vqqvCSvHSSwqvqCddnvQ,FmNbVjbJVVmGNNVHNNlH
pggrhzWgptWhZ,smVlFmgNNVNbj
RzpMLLhhphtzrRr,SSbQTBQwSTDBwQM
DSFQDlDFRddDHQHQtFlDVsV,MTzrMCLSWZLZffSzLWrfCJz
jjBBvpgmbppBPbMwBBBNbb,ZWZzzCCTzzZgzWcJccLzWz
bvPwNwmpnBNhPmqpPvnwwNm,tRQGQMdQDQlsGVVGhRlGFsl
SfJJwDJgpGdSGJNSTwTVJD,RbWWfLtCWCLtRLHWrtbWBf
cQQPnFhjjQlczhqllhszhqsQ,RWnrbrHdHtbWrBWBbtvvHBrW
qMqqqqzFFmPjmmsFjmzsmhjc,DGSZTJgTdpZwZgwSZVpMTNVG
czrcHMcMJ,tCCPnpFmH
DwGGlvLljGmDRdwLdLjfh,tFsssnFVpfttpptsnFPnp
TlRTghTjwTDRTDl,ZZQgWMMrMJMSZmM
BzdNzNdgNNPfgdNsdQdN,vVMLLVQVMcCRCMRmvCGc
zHpplwwZrZlqlWWrpZwqlHh,LvqMCRDCGVmLcqGMVvCMmMD
rWrjwWwHplZbwpZtHtJJ,bgfFTfsNnBbsfbSdTzgB
jPRRppDLDGDTLLggMMjpLTGc,rJWHsttJfwnWrMvrJnvnrNfJ
blqbzBdzmhhbQ,WnsNHtJvfssfd
lhFhzSzzSZVNSl,VPgDPCPCGTRcGR
cqWcNWffPftvsvfpqPtZs,BzrbmbFddBmbcLbdDHbHz
TJgljTnGgn,LBTZbHdBFz
JgSnJwSlgGJRwM,tfPtvfwsZQZZtv
hHhPbQPTwsdwd,HqtgttjpNfjDt
FFlCmSzRCCmlzzRGCF,NvRpvjvtZNZqsRfNRg
mVmsFMGFzJF,BwQTMnMQndd
QQVpQGcVdGms,pHHLtbqfqfbt
JvZTFDFzJzhFCWCZZDzWPBCJ,fLbnnwLqttnsHHNPwtbHLwjn
DssTMWvvv,GMcQGQGld
sshRHZSZRbSZHh,BFBMpMWpFgbbtb
JfjTjmwwTPvfTNPTQ,lmFFFqqmFMBBqFgFt
vDTvJffQTJjJvPvTN,SHRzhCsShRRRDtZHz
NFLsRDNNDNBD,lgPPgBglQlzj
HJhdZpfJ,zlWQjjHw
ffJTppZZq,TNlGnNsMG
ZMrWcWwqqvPZM,ndGdqlnnDLnVT
HpCsshCfpFfHHJ,DDSlSVQQGGflDQ
zssNzRJFhjNHNNHpJR,wbwMMzWWtZPcbBbwbG
HlNHHLHsBDRpHLlsHRl,JnMhfWZMRnvCCCnWhZj
wtqSmQqttzSSQdPmmw,ZhChJjWJjPggCZCfZJ
SSwtTbTQmbtdqmGTTcfqz,DLHFsBLDGLNGrsBHFGrLB
FFDvWznMWWMrPnPnWPgsmg,QbhJRslHbwHwVVsVHjBsHb
ZtSffffpdLqpSCLfCNqfLqLC,jHjHbwhpBwJllHlRVQllphjj
ZcNCtcGSctZScqfNGScLNcc,zPJFmzmDzGzWnrWFPFWDvrM
DnTPspmTPsTCDQW,RZzZzZRCRfCfHfh
BNcqTBcFg,bVchVJhVR
dTwdrBrwTS,PPWnnmSmsn
pfbbDbHpNBFmQbpNNB,SlLtlDStSdSPJLtLJR
ZcszvwgVCZswFzV,TRTlTlRLgRJSWJR
jzZvVwFjcjjnwvzwZcjM,pqMpbGQbQmhhHhmfHQmh
hTbddhQCtdNmdtwtdhTBbCdd,RSWscczwcRSWLJzcFJzDsFsR
NflgfPZP,cgSLJcWD
lPVNZMMMpZlZZvfrMvp,bQHQhtbtqdTQHthrqhd
JlWSStwhWJSRJpJvJ,BjTwTqcwTsDjsCTCB
dqFzgFZGGQNV,mTcCrjrzsBrB
fdgLFQLnPdnq,ShRMPhlJMpWW
TMPcsPDjdDhsDcDcTTTDvdv,ghBNFGGtmNrSrgSSBGNtNFg
CVCbJqlRVVWWpRqRQZRWVWJZ,BtmSFGNmggGmtmmBFbrGMGMt
JRqHVJVCRLZW,TjMnfLTPcfLd
TRTZFTTrghrZVhVWdWZ,pMmbzbdzBmtDpDDzmzB
wcsSSsjfPfGPqQwqsQcf,JJCtJGpppCBJzCbzJzCb
sPjflcwljfjfvqNc,TZTRhtVWrNrVLnrR
rVLLsmwmCWTmsCTdwQrdTmqW,DjDHjNGNPbjDBPNDNsZRDBjH
cFcSvgJvfhfLnShtMJt,PHRRvRbBBGBPNBHPbND
hgLcgcLpJSM,wzmrmzqQrmp
